id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26892947,Quiet Room in Barcelona,74290038,Juan Carlos,Gràcia,la Salut,41.41088,2.1518,Private room,35,2,11,2019-06-17,2.48,1,0
26896456,Sunny double room with balcony in city center!,7425404,Andrea,Eixample,Sant Antoni,41.37724,2.15701,Private room,50,4,3,2019-04-22,0.29,1,9
26903513,Cozy room downtown,34115706,Alessandra,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38851,2.17456,Private room,50,2,4,2019-06-08,0.36,3,178
26908278,HABITACION PRIVADA 2,94168856,Giorgi,Sant Martí,el Besòs i el Maresme,41.41496,2.21332,Private room,25,1,36,2019-07-04,3.03,2,288
26910446,Sunny home with terrace near the center.,33282137,Line,Eixample,la Nova Esquerra de l'Eixample,41.38261,2.15095,Private room,30,4,0,,,3,0
26915869,Habitación doble con balcón♡Barcelona,41349300,Ruben,Eixample,el Fort Pienc,41.40122,2.17955,Private room,70,1,12,2019-06-18,1.40,3,28
26916109,Cozy room♡Barcelona,41349300,Ruben,Eixample,el Fort Pienc,41.40096,2.1798,Private room,30,2,34,2019-07-07,3.58,3,53
26916770,City Center Triple Room Suite,195942000,Adriana De Bruc & Bruc,Eixample,la Dreta de l'Eixample,41.39584,2.16756,Private room,56,1,57,2019-07-10,5.01,3,337
26916773,City Center Double Room Balcony Shared Bathroom,195942000,Adriana De Bruc & Bruc,Eixample,la Dreta de l'Eixample,41.39552,2.16539,Private room,56,1,72,2019-07-08,6.15,3,336
26916997,Triple Room City View Shared Bathroom,195942000,Adriana De Bruc & Bruc,Eixample,la Dreta de l'Eixample,41.39755,2.16673,Private room,56,1,54,2019-07-10,5.61,3,293
26920348,Plaza España comfort and handy apart (1811),146682595,Ana & Rafa,Sants-Montjuïc,Hostafrancs,41.37635,2.14718,Entire home/apt,75,1,66,2019-07-09,5.58,8,281
26922057,Single room in a good location,860570,Paula,Les Corts,la Maternitat i Sant Ramon,41.37709,2.11296,Private room,25,31,1,2018-11-28,0.13,1,97
26922629,Modern designer apartment,5264883,Unique,Ciutat Vella,el Raval,41.37964,2.16598,Entire home/apt,63,32,2,2019-06-27,0.22,31,320
26933001,Precioso y moderno Loft en Barcelona,202654862,Flateli,Eixample,la Dreta de l'Eixample,41.39735,2.17423,Entire home/apt,49,32,0,,,12,253
26933370,3 bedrooms and balconies in the heart of the city,202654862,Flateli,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4018,2.16645,Entire home/apt,55,32,0,,,12,181
26933764,Bright and fresh double room in city center,4218213,Malin,Ciutat Vella,el Raval,41.37737,2.16698,Private room,60,3,33,2019-07-09,3.25,2,47
26934011,Acogedor apartamento en el centro de Barcelona,202654862,Flateli,Les Corts,les Corts,41.38461,2.13401,Entire home/apt,53,32,1,2018-10-19,0.11,12,337
26934322,Precioso y moderno Estudio en Barcelona,202654862,Flateli,Eixample,la Dreta de l'Eixample,41.39714,2.17567,Entire home/apt,49,32,1,2019-05-10,0.48,12,219
26934998,Habitación Individual en piso compartido. Trinitat,202668449,Xavier,Nou Barris,la Trinitat Nova,41.44758,2.18275,Private room,32,1,3,2018-09-14,0.26,1,318
26935093,Precioso y moderno Apartamento en Barcelona,202654862,Flateli,Eixample,la Dreta de l'Eixample,41.397,2.17377,Entire home/apt,58,32,0,,,12,247
26936332,"Bright double room, city center RAVAL",4218213,Malin,Ciutat Vella,el Raval,41.37613,2.16709,Private room,62,3,31,2019-06-27,3.04,2,77
26940354,Little room downtown,34115706,Alessandra,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38851,2.17606,Private room,35,2,21,2019-07-10,1.94,3,158
26940439,Two Bedroom Apartment next to Sagrada Familia,98330509,Apart-Suites,Eixample,la Dreta de l'Eixample,41.40046,2.17094,Entire home/apt,200,1,0,,,5,331
26940522,Charming One-Bedroom Apartment in Sagrada Familia,98330509,Apart-Suites,Eixample,la Dreta de l'Eixample,41.40009,2.17264,Entire home/apt,140,1,2,2018-12-28,0.31,5,143
26940546,Junior Suite at Sagrada Familia,98330509,Apart-Suites,Eixample,la Dreta de l'Eixample,41.4011,2.17114,Entire home/apt,150,1,0,,,5,311
26940783,Art Gallery Apartment 1B,9784103,Apartime,Sants-Montjuïc,el Poble Sec,41.37427,2.16254,Entire home/apt,90,3,0,,,31,143
26942581,"Privacidad, silencio, buena comunicación...",184577,Patricia,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39382,2.1386,Entire home/apt,35,31,3,2019-06-28,0.36,2,260
26943500,Art Gallery Apartment 2A,9784103,Apartime,Sants-Montjuïc,el Poble Sec,41.37416,2.1623,Entire home/apt,90,3,1,2019-01-01,0.16,31,144
26946113,Art Gallery Apartment 2B,9784103,Apartime,Sants-Montjuïc,el Poble Sec,41.37476,2.16298,Entire home/apt,90,3,1,2019-04-28,0.41,31,135
26952958,3Habitacion individual Grande,70220020,Carla,Sant Martí,el Clot,41.40722,2.19108,Private room,21,1,18,2019-06-23,1.59,3,225
26956300,Habitacion  con balcón a 5 minutos  plaza España,202830210,Taty,Sants-Montjuïc,el Poble Sec,41.3743,2.14917,Private room,38,2,10,2019-06-30,0.93,1,332
26956885,Nice room with terrace near Sants station,21503566,Diego Ariel,Sants-Montjuïc,Sants,41.3762,2.13111,Private room,33,4,14,2019-06-23,1.35,1,125
26957533,"近距离感受巴塞罗那圣家堂的壮观,体验充满风情的不一样的巴塞罗那",85376805,Vicky,Eixample,la Sagrada Família,41.40094,2.17496,Shared room,29,1,1,2018-08-11,0.09,1,0
26966765,Apartamento para 4 en el centro de Barcelona,173993443,Pilar,Eixample,l'Antiga Esquerra de l'Eixample,41.38498,2.15997,Entire home/apt,145,1,34,2019-07-03,3.23,3,45
26969209,Plaza España apart with balcony (1832),146682595,Ana & Rafa,Sants-Montjuïc,Hostafrancs,41.37415,2.14565,Entire home/apt,75,1,40,2019-07-04,3.47,8,303
26970125,Sants-Plaza España apart with a big terrace (1802),146682595,Ana & Rafa,Sants-Montjuïc,Hostafrancs,41.37654,2.1453,Entire home/apt,75,2,57,2019-06-30,4.83,8,281
26970811,Beautiful Apartment Sagrada Familia,175873472,Ivan,Eixample,la Sagrada Família,41.40539,2.18002,Entire home/apt,150,3,4,2019-05-25,0.40,7,299
26975250,Double Cozy Room/Habitación doble Sagrada Familia,140031407,Maximiliano,Eixample,la Sagrada Família,41.4077,2.17254,Private room,50,2,1,2018-12-30,0.16,1,0
26976011,Superior Room with Balcony in Sagrada Familia,200109747,Carlos Del Hotel Boutique Hostemplo,Eixample,la Sagrada Família,41.40075,2.17432,Private room,150,1,3,2019-04-02,0.40,3,355
26976071,Design-led room steps from the Sagrada Familia,200109747,Carlos Del Hotel Boutique Hostemplo,Eixample,la Sagrada Família,41.40174,2.17283,Private room,140,1,5,2019-06-05,0.68,3,331
26976115,Superior Room with Terrace in Sagrada Familia,200109747,Carlos Del Hotel Boutique Hostemplo,Eixample,la Sagrada Família,41.40225,2.17275,Private room,160,1,2,2019-02-05,0.25,3,348
26978043,Art Gallery Apartment 3B,9784103,Apartime,Sants-Montjuïc,el Poble Sec,41.37382,2.16431,Entire home/apt,90,3,1,2018-09-30,0.11,31,151
26979559,Barcelona Beach House,8286894,Amy,Ciutat Vella,la Barceloneta,41.37657,2.1899,Entire home/apt,70,30,1,2019-04-09,0.32,1,98
26979631,Deluxe Double Room with Breakfast at Hotel OD Barcelona *****,197064207,Ana Del Hotel OD Barcelona,Eixample,la Dreta de l'Eixample,41.39269,2.16779,Private room,170,1,2,2019-05-11,0.38,5,353
26979798,Superior Double Room with Breakfast at Hotel OD Barcelona *****,197064207,Ana Del Hotel OD Barcelona,Eixample,la Dreta de l'Eixample,41.39433,2.1684,Private room,150,1,0,,,5,359
26979907,Art Gallery Apartment 4A,9784103,Apartime,Sants-Montjuïc,el Poble Sec,41.37399,2.16259,Entire home/apt,90,3,2,2019-06-02,0.77,31,160
